geoid,zip,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17
86000US90090,90090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86000US90094,90094,2957,150,57,90,136,124,116,36,82,101,89,319,194,316,166,287,694
86000US90095,90095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86000US90210,90210,8373,615,436,337,185,141,135,201,99,99,320,280,547,572,505,788,3113
86000US90211,90211,3614,286,97,133,150,104,166,118,118,64,287,534,357,294,203,265,438
86000US90212,90212,5632,430,228,141,83,186,66,173,238,176,358,443,562,673,381,516,978
86000US90230,90230,12980,694,477,473,647,481,445,512,458,302,985,1152,1590,1509,962,1000,1293
86000US90232,90232,6289,397,248,344,210,195,157,134,366,165,398,603,776,618,312,629,737
86000US90245,90245,6629,211,216,97,241,216,193,201,174,78,368,984,861,803,435,773,778
86000US90247,90247,15930,1338,1160,1000,1162,977,1072,891,630,747,1236,1511,1865,957,481,557,346
86000US90248,90248,3411,206,198,213,127,162,128,253,194,158,320,314,460,238,179,132,129
86000US90250,90250,31915,2277,1532,1848,1993,2240,1958,1897,1910,1604,3055,2985,3613,1855,1244,1149,755
86000US90262,90262,15183,1090,927,1042,1098,1039,963,1068,803,848,1272,1817,1529,804,441,328,114
86000US90265,90265,7031,266,185,225,252,144,160,115,100,116,221,379,530,832,539,765,2202
86000US90272,90272,9169,231,110,127,165,145,217,100,160,199,475,431,713,712,688,870,3826
86000US90275,90275,15898,459,202,367,328,424,298,262,381,296,820,1298,1515,1564,1358,2515,3811
86000US90290,90290,2452,125,26,95,52,55,79,14,93,41,49,270,264,238,123,226,702
86000US90291,90291,14097,931,656,587,452,472,476,389,649,232,597,1229,1736,1362,957,1189,2183
86000US90292,90292,12206,580,323,294,345,358,326,129,298,274,515,1207,1229,1791,974,1254,2309
86000US90293,90293,6532,182,138,204,129,225,175,86,173,247,555,678,855,907,512,539,927
86000US90301,90301,12043,961,1077,1141,794,901,728,731,675,652,1083,1150,1185,514,200,183,68
86000US90302,90302,10783,824,529,637,951,732,871,679,694,611,710,1025,984,703,274,333,226
86000US90303,90303,7158,573,491,655,473,418,578,339,322,274,569,789,658,476,240,238,65
86000US90304,90304,6570,517,512,588,647,514,369,336,364,267,618,686,627,193,175,114,43
86000US90305,90305,5837,285,246,231,225,286,387,306,232,171,498,563,708,646,447,425,181
86000US90402,90402,5108,291,109,19,88,272,57,142,68,38,251,209,354,558,363,452,1837
86000US90403,90403,13939,727,683,584,521,337,495,489,463,367,857,1580,1532,1292,969,1100,1943
86000US90404,90404,9941,641,706,447,399,406,338,393,431,414,561,712,1285,1131,766,629,682
86000US90405,90405,14029,957,1053,288,501,335,420,261,412,516,808,1278,1510,1295,1133,1239,2023
86000US90501,90501,14192,607,555,866,650,804,1003,310,537,731,1046,1252,1969,1287,849,1038,688
86000US90502,90502,5732,299,165,236,221,327,277,306,232,163,535,733,643,736,302,332,225
86000US90504,90504,11388,443,427,443,349,516,344,423,587,353,721,1077,1971,1176,877,1056,625
86000US90710,90710,8940,451,417,564,417,410,442,431,431,505,764,881,1073,832,370,671,281
86000US90717,90717,8410,826,511,416,280,417,412,240,328,257,745,947,991,794,384,493,369
86000US90731,90731,22140,1526,1536,1396,1458,1202,1090,946,979,966,1565,1954,2628,1733,1103,1211,847
86000US90732,90732,8191,233,363,368,267,261,400,227,343,109,445,604,1211,1109,847,845,559
86000US90744,90744,14116,947,943,919,1270,868,963,881,633,574,1231,1375,1534,973,435,413,157
86000US90745,90745,14768,514,591,775,617,474,657,524,562,401,991,1671,2466,1739,1269,908,609
86000US90802,90802,20221,1814,1861,1388,1221,1171,877,890,891,869,1787,1836,2104,1209,847,631,825
86000US90810,90810,9264,621,612,615,559,515,597,443,335,396,686,1010,1190,738,449,255,243
86000US90813,90813,16558,1491,2017,1464,1505,1468,1309,1007,861,778,1228,926,1171,758,237,193,145
86000US91011,91011,6709,95,66,60,186,143,169,139,83,88,279,265,435,806,491,868,2536
86000US91030,91030,10394,460,226,359,246,232,286,239,418,365,824,1271,1241,921,807,1104,1395
86000US91040,91040,7057,282,416,227,323,332,344,257,293,141,466,592,869,872,498,599,546
86000US91042,91042,10019,728,525,572,413,558,458,441,359,528,621,975,1264,714,676,756,431
86000US91105,91105,5320,202,202,149,144,173,45,168,61,181,259,382,526,399,343,726,1360
86000US91201,91201,8241,346,514,689,645,441,343,367,525,195,603,814,857,714,446,325,417
86000US91204,91204,5705,380,467,602,519,241,327,331,250,399,530,384,549,324,157,145,100
86000US91205,91205,14143,752,1671,1492,1195,1000,694,848,471,604,1192,1074,1404,789,439,340,178
86000US91206,91206,12834,498,920,934,828,456,720,607,532,701,857,953,1500,1026,658,856,788
86000US91214,91214,10484,372,195,278,237,301,345,343,222,328,574,915,1863,1043,1035,1299,1134
86000US91302,91302,9215,525,191,211,189,181,218,338,250,177,318,447,709,1023,705,845,2888
86000US91303,91303,9209,499,663,499,616,703,630,352,539,417,731,927,1165,633,441,278,116
86000US91304,91304,16953,891,888,650,964,1132,600,831,808,629,1271,1808,1869,1412,1220,1103,877
86000US91306,91306,14220,721,818,720,496,825,772,395,554,684,983,1597,1959,1502,957,801,436
86000US91307,91307,8464,277,160,229,278,283,241,214,139,277,471,616,1181,1084,675,1149,1190
86000US91311,91311,13508,542,496,428,399,431,466,594,436,315,1051,1239,2171,1610,1031,1030,1269
86000US91316,91316,12300,851,638,629,352,490,574,399,573,378,1062,1144,1261,1108,696,984,1161
86000US91321,91321,11022,538,514,575,493,440,619,639,506,435,950,1034,1359,1067,550,639,664
86000US91324,91324,9503,815,507,222,382,380,579,414,380,387,727,952,1041,699,581,674,763
86000US91325,91325,11695,1129,432,409,413,472,655,505,658,231,1123,1058,1476,821,608,711,994
86000US91326,91326,12173,634,246,312,222,290,313,370,403,348,529,929,1570,1562,1153,1573,1719
86000US91330,91330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86000US91331,91331,22307,1117,1231,1335,1272,1487,1182,1041,1022,1190,2206,2549,3311,1642,990,541,191
86000US91335,91335,23152,1613,1726,1161,1400,1095,1244,891,1138,972,1793,2188,3064,1951,1156,1100,660
86000US91340,91340,8273,385,484,458,406,433,371,346,316,451,973,1007,1015,654,551,290,133
86000US91342,91342,23787,964,1121,926,1167,1031,1101,1245,1141,1138,1893,2800,3650,2248,1488,1302,572
86000US91343,91343,16929,979,987,931,926,797,883,669,836,803,1261,1766,1943,1354,957,1113,724
86000US91344,91344,16885,539,589,651,502,632,531,605,741,668,1069,1592,2481,2006,1369,1543,1367
86000US91345,91345,5149,314,170,194,212,347,186,212,131,258,544,554,746,438,362,367,114
86000US91352,91352,12335,724,943,826,771,558,617,684,689,458,1134,1097,1620,894,382,586,352
86000US91356,91356,11321,679,600,369,446,373,361,345,466,464,887,1003,1404,913,624,820,1567
86000US91364,91364,10239,447,179,284,261,460,282,251,279,386,526,788,1278,1373,752,1108,1585
86000US91367,91367,17284,1049,590,605,430,467,348,862,569,390,1268,1798,2194,1733,1195,1638,2148
86000US91371,91371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86000US91401,91401,14621,966,1143,956,773,917,687,680,737,538,1088,1425,1476,1110,596,829,700
86000US91402,91402,18499,1264,1494,1655,1221,1533,1175,1116,1072,749,1751,1470,1754,928,693,477,147
86000US91403,91403,11455,528,492,353,389,426,726,456,519,269,628,924,1386,981,650,1010,1718
86000US91405,91405,16748,1317,1320,1323,1387,1304,1159,972,899,889,1011,1406,1666,866,365,474,390
86000US91406,91406,17387,1103,1178,1022,1003,882,900,889,866,779,1711,1442,2148,1373,779,728,584
86000US91411,91411,9423,642,695,824,674,638,453,456,482,272,729,827,973,542,588,314,314
86000US91423,91423,14746,613,353,544,621,401,611,490,561,559,1060,1473,1880,1274,809,1290,2207
86000US91436,91436,5528,277,133,196,102,101,78,85,113,63,251,172,469,674,387,508,1919
86000US91501,91501,7660,456,296,598,404,388,402,424,274,154,344,898,1109,689,304,519,401
86000US91504,91504,9276,236,224,481,321,358,478,425,484,358,654,844,1210,899,679,905,720
86000US91505,91505,13012,680,429,383,455,462,510,345,519,379,1009,1131,2090,1582,1007,1251,780
86000US91506,91506,7316,314,280,302,359,203,249,311,348,210,589,627,1004,691,663,641,525
86000US91601,91601,16374,1020,1418,860,991,772,1016,906,813,755,1252,1687,1773,1136,677,749,549
86000US91602,91602,9224,446,301,268,506,403,540,261,516,287,787,830,1137,1007,564,576,795
86000US91604,91604,13917,709,328,389,490,448,441,384,398,298,841,1116,1809,1451,911,1127,2777
86000US91605,91605,15495,1210,1165,1180,1155,992,845,712,698,745,1136,1394,1849,1119,597,397,301
86000US91606,91606,15137,996,1220,1359,1060,923,881,802,644,726,1415,1370,1617,807,484,495,338
86000US91607,91607,13322,1053,736,703,752,756,690,424,641,503,1210,1199,1255,1084,465,696,1155
86000US91608,91608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86000US91754,91754,10514,707,694,582,441,536,513,439,406,408,681,978,1467,724,656,691,591
86000US91801,91801,19270,1385,986,1240,1274,1042,1048,726,849,770,1578,2021,2285,1488,995,949,634
86000US91803,91803,9781,427,604,599,416,521,403,541,361,418,829,1009,1213,891,586,597,366
86000US93063,93063,19095,487,657,563,540,490,903,526,743,482,1290,1689,2963,2429,1772,1877,1684
