"geoid","name","B19001001","B19001002","B19001003","B19001004","B19001004_Error","B19001005","B19001006","B19001007","B19001008","B19001008_Error","B19001009","B19001010","B19001010_Error","B19001011","B19001012","B19001013","B19001013_Error","B19001014","B19001014_Error","B19001015","B19001015_Error","B19001016","B19001017"
"86000US90058","90058","839","262","133","68","51","98","15","38","24","20","18","37","40","65","48","23","23","7","11","1","2","2","0"
"86000US90059","90059","9429","1338","882","736","173","633","643","638","605","145","514","372","122","565","860","849","181","325","110","230","83","215","24"
"86000US90061","90061","7403","1034","640","527","143","566","403","583","359","105","439","406","117","708","746","545","133","279","106","71","40","79","18"
"86000US90062","90062","9319","935","1207","919","183","664","665","509","530","138","374","478","134","822","804","816","159","240","82","214","83","66","76"
"86000US90063","90063","13483","1078","1230","1126","194","1199","643","848","722","154","785","698","143","1230","1261","1527","240","580","138","270","77","237","49"
"86000US90064","90064","10679","588","292","243","97","395","305","431","476","124","460","263","99","532","812","1287","228","1066","220","451","127","989","2089"
"86000US90065","90065","14769","1007","936","747","174","833","799","782","806","160","628","528","126","1238","1436","1461","198","1201","218","592","135","859","916"
"86000US90066","90066","24213","1422","651","1064","198","1070","913","885","698","171","1077","928","167","1839","2554","2995","310","2378","274","1470","240","1703","2566"
"86000US90067","90067","1474","113","30","39","47","51","9","43","65","73","26","23","26","35","157","186","83","96","73","131","76","57","413"
"86000US90068","90068","12056","833","435","429","146","315","294","616","328","127","609","270","118","992","1002","1236","234","1012","210","584","180","888","2213"
"86000US90069","90069","12884","710","535","334","114","369","681","550","530","212","242","294","157","830","1014","1813","401","1316","263","573","215","1033","2060"
"86000US90071","90071","0","0","0","0","12","0","0","0","0","12","0","0","12","0","0","0","12","0","12","0","12","0","0"
"86000US90073","90073","0","0","0","0","12","0","0","0","0","12","0","0","12","0","0","0","12","0","12","0","12","0","0"
"86000US90077","90077","3280","59","53","54","54","31","59","70","39","32","37","46","34","86","198","277","104","248","94","172","57","401","1450"
"86000US90079","90079","0","0","0","0","12","0","0","0","0","12","0","0","12","0","0","0","12","0","12","0","12","0","0"
"86000US90089","90089","15","5","10","0","12","0","0","0","0","12","0","0","12","0","0","0","12","0","12","0","12","0","0"
"86000US90090","90090","0","0","0","0","12","0","0","0","0","12","0","0","12","0","0","0","12","0","12","0","12","0","0"
"86000US90094","90094","2957","150","57","90","84","136","124","116","36","58","82","101","78","89","319","194","92","316","112","166","79","287","694"
