,zip,geoid,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17
41,91042,86000US91042,10019,728,525,572,413,558,458,441,359,528,621,975,1264,714,676,756,431
42,91306,86000US91306,14220,721,818,720,496,825,772,395,554,684,983,1597,1959,1502,957,801,436
43,90032,86000US90032,13035,823,879,882,867,750,645,861,785,625,951,1325,1608,985,516,381,152
44,90059,86000US90059,9429,1338,882,736,633,643,638,605,514,372,565,860,849,325,230,215,24
45,91325,86000US91325,11695,1129,432,409,413,472,655,505,658,231,1123,1058,1476,821,608,711,994
46,91345,86000US91345,5149,314,170,194,212,347,186,212,131,258,544,554,746,438,362,367,114
47,90405,86000US90405,14029,957,1053,288,501,335,420,261,412,516,808,1278,1510,1295,1133,1239,2023
48,90038,86000US90038,11935,1125,1401,1157,973,608,853,575,620,470,865,1007,962,529,185,264,341
49,91601,86000US91601,16374,1020,1418,860,991,772,1016,906,813,755,1252,1687,1773,1136,677,749,549
50,90094,86000US90094,2957,150,57,90,136,124,116,36,82,101,89,319,194,316,166,287,694
51,91602,86000US91602,9224,446,301,268,506,403,540,261,516,287,787,830,1137,1007,564,576,795
52,90039,86000US90039,11547,559,582,426,577,494,526,517,350,315,770,1239,1538,1154,735,880,885
53,91307,86000US91307,8464,277,160,229,278,283,241,214,139,277,471,616,1181,1084,675,1149,1190
54,91436,86000US91436,5528,277,133,196,102,101,78,85,113,63,251,172,469,674,387,508,1919
55,91340,86000US91340,8273,385,484,458,406,433,371,346,316,451,973,1007,1015,654,551,290,133
56,91343,86000US91343,16929,979,987,931,926,797,883,669,836,803,1261,1766,1943,1354,957,1113,724
57,90048,86000US90048,11757,687,633,516,270,219,405,386,431,432,1053,950,1300,1065,652,985,1773
58,90045,86000US90045,15720,998,451,478,515,631,711,471,422,517,847,1461,2079,1477,1114,1706,1842
59,90017,86000US90017,9577,1979,1424,1220,758,562,336,462,313,208,465,318,576,288,105,318,245
60,90010,86000US90010,2170,274,178,89,119,68,69,124,128,56,130,289,171,147,143,85,100
61,90064,86000US90064,10679,588,292,243,395,305,431,476,460,263,532,812,1287,1066,451,989,2089
62,91367,86000US91367,17284,1049,590,605,430,467,348,862,569,390,1268,1798,2194,1733,1195,1638,2148
63,91406,86000US91406,17387,1103,1178,1022,1003,882,900,889,866,779,1711,1442,2148,1373,779,728,584
64,90065,86000US90065,14769,1007,936,747,833,799,782,806,628,528,1238,1436,1461,1201,592,859,916
65,90026,86000US90026,25139,1999,1585,1597,1609,1348,1485,1291,1334,1033,1963,2160,2783,1637,844,1259,1212
66,90275,86000US90275,15898,459,202,367,328,424,298,262,381,296,820,1298,1515,1564,1358,2515,3811
67,91504,86000US91504,9276,236,224,481,321,358,478,425,484,358,654,844,1210,899,679,905,720
68,90230,86000US90230,12980,694,477,473,647,481,445,512,458,302,985,1152,1590,1509,962,1000,1293
69,90069,86000US90069,12884,710,535,334,369,681,550,530,242,294,830,1014,1813,1316,573,1033,2060
70,90212,86000US90212,5632,430,228,141,83,186,66,173,238,176,358,443,562,673,381,516,978
71,90019,86000US90019,24161,1936,2042,1793,1317,1277,1240,1463,1394,1162,1940,1888,2335,1281,768,947,1378
72,90006,86000US90006,19026,1529,1790,1960,1964,1533,2114,1472,1194,933,1213,1552,1012,368,176,90,126
73,90305,86000US90305,5837,285,246,231,225,286,387,306,232,171,498,563,708,646,447,425,181
74,91402,86000US91402,18499,1264,1494,1655,1221,1533,1175,1116,1072,749,1751,1470,1754,928,693,477,147
75,90033,86000US90033,12967,1769,1620,1405,1213,944,795,809,633,494,897,853,741,345,214,139,96
76,90035,86000US90035,13367,802,790,368,333,539,615,616,384,352,935,918,1706,1095,944,1229,1741
77,90057,86000US90057,15884,1782,1952,2144,1478,1306,1294,1004,910,490,1008,1203,705,290,202,71,45
78,90731,86000US90731,22140,1526,1536,1396,1458,1202,1090,946,979,966,1565,1954,2628,1733,1103,1211,847
79,90029,86000US90029,14129,1328,1324,1240,972,1055,1104,670,970,609,1423,1105,1043,606,267,203,210
80,90001,86000US90001,13325,1362,1273,923,1196,935,1244,1036,650,632,961,1096,1122,496,220,130,49
81,90710,86000US90710,8940,451,417,564,417,410,442,431,431,505,764,881,1073,832,370,671,281
82,91311,86000US91311,13508,542,496,428,399,431,466,594,436,315,1051,1239,2171,1610,1031,1030,1269
83,90003,86000US90003,15891,2151,1780,1541,1381,1089,986,1082,885,648,1197,1384,1005,483,178,65,36
84,90061,86000US90061,7403,1034,640,527,566,403,583,359,439,406,708,746,545,279,71,79,18
85,91326,86000US91326,12173,634,246,312,222,290,313,370,403,348,529,929,1570,1562,1153,1573,1719
86,91405,86000US91405,16748,1317,1320,1323,1387,1304,1159,972,899,889,1011,1406,1666,866,365,474,390
87,90007,86000US90007,11617,2874,1387,953,924,704,761,547,377,398,602,615,686,344,265,91,89
88,90013,86000US90013,5872,1268,1153,394,410,157,190,264,90,35,218,384,581,276,141,171,140
89,90744,86000US90744,14116,947,943,919,1270,868,963,881,633,574,1231,1375,1534,973,435,413,157
90,90021,86000US90021,1680,507,460,120,60,39,38,76,21,20,100,70,48,54,34,24,9
91,90066,86000US90066,24213,1422,651,1064,1070,913,885,698,1077,928,1839,2554,2995,2378,1470,1703,2566
92,91303,86000US91303,9209,499,663,499,616,703,630,352,539,417,731,927,1165,633,441,278,116
93,90077,86000US90077,3280,59,53,54,31,59,70,39,37,46,86,198,277,248,172,401,1450
94,90027,86000US90027,21485,1724,2077,1166,1419,1144,883,753,813,693,1458,2206,2320,1641,896,826,1466
