,5/6,6/7,7/8,8/9,9/10,10/11,11/12,12/13,zip,Total,Median Age,Males,Females,Households,AverageHouseHoldSize
89,70,79,84,83,73,74,66,11,90744,53815,28.7,27298,26517,13999,3.83
90,56,54,48,48,43,45,46,21,90021,3951,44.3,2790,1161,1561,1.57
91,20,21,19,18,17,16,17,11,90066,55277,37.3,27714,27563,23985,2.29
92,35,38,36,35,31,31,32,14,91303,26855,31.1,13907,12948,8697,3.08
93,45,52,48,46,38,39,39,36,90077,9377,47.9,4594,4783,3615,2.57
94,49,53,48,47,39,40,41,17,90027,45151,38.3,22362,22789,21929,1.99
95,30,31,30,28,26,26,26,12,90034,57964,32.8,28828,29136,25592,2.23
96,49,55,51,48,40,40,42,33,91356,29458,41.7,14216,15242,11686,2.5
97,23,23,22,21,19,19,19,10,90018,49310,33.2,23770,25540,15493,3.12
98,39,42,41,40,32,31,35,15,91352,47807,32.1,23980,23827,11985,3.95
99,33,33,30,29,27,27,28,10,90023,45903,28.4,23037,22866,10727,4.26
100,25,25,23,22,20,20,20,11,90247,47487,35.5,23217,24270,15830,2.96
101,26,28,25,24,21,21,22,12,90732,21115,45.0,9843,11272,8611,2.38
102,76,76,74,72,63,67,68,28,90024,47452,23.6,22248,25204,17903,2.03
103,34,35,35,35,33,32,33,9,90292,21576,41.2,10729,10847,12654,1.7
104,74,74,67,65,63,63,63,25,90005,37681,33.9,19299,18382,15044,2.5
105,27,29,26,25,23,23,23,9,90031,39316,33.5,19546,19770,11156,3.49
106,32,33,32,30,27,27,27,19,90046,48581,38.5,25854,22727,28534,1.69
107,42,42,34,33,30,27,26,10,90058,3223,26.0,1555,1668,892,3.6
108,30,31,29,27,24,23,24,14,91606,44958,34.3,22376,22582,14903,3.0
109,34,36,34,32,29,29,29,21,91604,29034,40.2,14271,14763,14292,2.01
110,35,38,36,34,28,28,29,20,91304,50231,35.9,24827,25404,16532,3.0
111,42,46,43,41,36,35,36,30,90049,35482,41.3,16359,19123,16657,2.09
112,18,19,17,17,15,15,16,9,90063,55758,29.0,27843,27915,13260,4.19
113,21,22,20,19,18,18,18,10,90016,47596,33.9,22778,24818,16145,2.93
114,27,28,26,25,24,23,23,11,90501,43180,35.0,21483,21697,14610,2.94
115,29,31,28,27,23,23,24,14,91605,56343,31.9,28417,27926,15357,3.61
116,31,33,31,29,27,26,28,15,91411,24628,33.8,12495,12133,9177,2.63
117,37,39,36,35,32,33,34,16,90036,36865,33.9,17914,18951,18646,1.96
